chr	start	end	width	nvar	copy_number	lohtype	major_allele	minor_allele
chr1	10492	749482	738990.0	6	6	HET		
chr1	758351	12863507	12105156.0	6	6	HET		
chr1	12863924	13234016	370092.0	6	6	HET		
chr1	13235361	13256376	21015.0	6	8	ASCNA		
chr1	13260128	16494669	3234541.0	6	6	HET		
chr1	16507625	16947464	439839.0	6	6	HET		
chr1	16949400	120061588	103112188.0	6	6	HET		
chr1	120061786	121771470	1709684.0	6	6	HET		
chr1	121771543	124997413	3225870.0	6	6	HET		
chr1	125005356	147026877	22021521.0	6	6	HET		
chr1	147028220	248943839	101915619.0	6	6	HET		
chr2	11042	87345349	87334307.0	6	6	HET		
chr2	87345906	87565296	219390.0	6	6	HET		
chr2	87568594	89248174	1679580.0	6	6	HET		
chr2	89248380	93286300	4037920.0	6	6	HET		
chr2	93314490	94203345	888855.0	6	6	HET		
chr2	94205703	111272860	17067157.0	6	6	HET		
chr2	111286285	111595389	309104.0	6	6	HET		
chr2	111602605	113442421	1839816.0	6	6	HET		
chr2	113443229	113624076	180847.0	6	6	HET		
chr2	113624863	242006286	128381423.0	6	6	HET		
chr2	242006840	242182922	176082.0	6	7	ASCNA		
chr3	12486	90718136	90705650.0	6	6	HET		
chr3	90720368	90992973	272605.0	6	6	HET		
chr3	91000508	91257470	256962.0	6	6	HET		
chr3	91277643	91543235	265592.0	6	6	HET		
chr3	91547612	93714319	2166707.0	6	6	HET		
chr3	93715250	167721480	74006230.0	6	6	HET		
chr3	167721609	198181229	30459620.0	6	9	ASCNA		
chr4	12155	68645	56490.0	6	7	ASCNA		
chr4	70063	49154696	49084633.0	6	6	HET		
chr4	49155548	50392770	1237222.0	6	6	HET		
chr4	50415136	51795991	1380855.0	6	6	HET		
chr4	51812829	190024789	138211960.0	6	6	HET		
chr4	190024937	190203030	178093.0	6	6	HET		
chr5	15950	686947	670997.0	6	6	HET		
chr5	692907	787767	94860.0	6	7	ASCNA		
chr5	788121	46434210	45646089.0	6	6	HET		
chr5	46435295	47308288	872993.0	6	6	HET		
chr5	49599953	50142734	542781.0	6	7	ASCNA		
chr5	50144019	175923279	125779260.0	6	6	HET		
chr5	175923499	176106582	183083.0	6	6	HET		
chr5	176125376	181287438	5162062.0	6	6	HET		
chr5	181290418	181475100	184682.0	6	7	ASCNA		
chr6	64204	295604	231400.0	6	6	HET		
chr6	295778	382111	86333.0	6	6	HET		
chr6	424915	60999838	60574923.0	6	6	HET		
chr6	61000221	104994013	43993792.0	6	6	HET		
chr6	104997489	170611108	65613619.0	6	3	DLOH		
chr6	170640200	170743497	103297.0	6	6	HET		
chr7	24353	56922707	56898354.0	6	6	HET		
chr7	56924421	57084759	160338.0	6	6	HET		
chr7	57084970	58065767	980797.0	6	6	HET		
chr7	58070209	59877390	1807181.0	6	6	HET		
chr7	59974941	61720487	1745546.0	6	6	HET		
chr7	61730831	63482175	1751344.0	6	6	HET		
chr7	63482476	63643897	161421.0	6	7	ASCNA		
chr7	63644231	72950441	9306210.0	6	6	HET		
chr7	72954102	73191647	237545.0	6	7	ASCNA		
chr7	73195378	74753158	1557780.0	6	6	HET		
chr7	74761478	102480374	27718896.0	6	6	HET		
chr7	102482173	102718611	236438.0	6	6	HET		
chr7	102722168	142343367	39621199.0	6	3	DLOH		
chr7	142346923	142426465	79542.0	6	4	HET		
