chr	start	end	copynumber	A	B	ploidy	cellularity	lohtype
chr1	10109	713337	3	2	1	2	0.45	ASCNA
chr1	714019	761732	6	6	0	2	0.45	ASCNA
chr1	773243	16821365	2	1	1	2	0.45	HET
chr1	16822537	17275102	2	2	0	2	0.45	NLOH
chr1	17275622	120528932	2	1	1	2	0.45	HET
chr1	120531133	121485379	2	1	1	2	0.45	HET
chr1	142536311	144833599	2	2	0	2	0.45	NLOH
chr1	144836365	145076471	2	1	1	2	0.45	HET
chr1	145076712	145385185	2	2	0	2	0.45	NLOH
chr1	145386391	147870279	2	1	1	2	0.45	HET
chr1	147914550	149726415	2	2	0	2	0.45	NLOH
chr1	149727355	248539990	2	1	1	2	0.45	HET
chr1	248546661	249240395	2	1	1	2	0.45	HET
chr2	24760	88272798	2	1	1	2	0.45	HET
chr2	88288423	89613756	2	1	1	2	0.45	HET
chr2	89616698	89875348	2	2	0	2	0.45	NLOH
chr2	89876481	92324697	2	1	1	2	0.45	HET
chr2	95330387	132763568	2	1	1	2	0.45	HET
chr2	132764490	133045441	2	2	0	2	0.45	NLOH
chr2	133045551	216124156	2	1	1	2	0.45	HET
chr2	216148523	216298781	20	20	0	2	0.45	ASCNA
chr2	216299281	243184843	2	1	1	2	0.45	HET
chr3	60596	90504645	2	1	1	2	0.45	HET
chr3	93505463	197922510	2	1	1	2	0.45	HET
chr4	12333	48916253	3	2	1	2	0.45	ASCNA
chr4	48940383	49632275	3	2	1	2	0.45	ASCNA
chr4	49632717	49659864	2	1	1	2	0.45	HET
chr4	52662126	190527932	3	2	1	2	0.45	ASCNA
chr4	190529421	190692137	2	2	0	2	0.45	NLOH
chr4	190692483	191044096	3	2	1	2	0.45	ASCNA
chr5	11582	46405572	2	1	1	2	0.45	HET
chr5	49405921	180736063	2	1	1	2	0.45	HET
chr6	209980	380789	1	1	0	2	0.45	DLOH
chr6	382111	32445916	2	1	1	2	0.45	HET
chr6	32446308	32508783	2	2	0	2	0.45	NLOH
chr6	32510039	57367400	2	1	1	2	0.45	HET
chr6	57369123	57587495	2	2	0	2	0.45	NLOH
chr6	57588177	58779675	2	2	0	2	0.45	NLOH
chr6	61885656	156652429	2	1	1	2	0.45	HET
chr6	156654437	167548281	0	0	0	2	0.45	HOMD
chr6	167551452	167591655	0	0	0	2	0.45	HOMD
chr6	167592576	168961252	1	1	0	2	0.45	DLOH
chr6	168961257	169016211	1	1	0	2	0.45	DLOH
chr6	169037260	169239318	3	3	0	2	0.45	ASCNA
chr6	169239839	169247887	2	2	0	2	0.45	NLOH
chr6	169249038	170920613	0	0	0	2	0.45	HOMD
chr6	170969138	171050997	4	3	1	2	0.45	ASCNA
chr7	23912	72389	4	3	1	2	0.45	ASCNA
chr7	72457	57595470	2	1	1	2	0.45	HET
chr7	57607914	58053246	2	1	1	2	0.45	HET
chr7	61054411	61846602	2	2	0	2	0.45	NLOH
chr7	61847911	64974636	2	1	1	2	0.45	HET
chr7	64975924	65287437	1	1	0	2	0.45	DLOH
chr7	65322388	159116528	2	1	1	2	0.45	HET
chr8	25951	111053	4	3	1	2	0.45	ASCNA
chr8	160533	2187509	3	3	0	2	0.45	ASCNA
chr8	2190202	2284111	2	1	1	2	0.45	HET
chr8	2289496	6829255	2	2	0	2	0.45	NLOH
chr8	6830947	8092174	2	1	1	2	0.45	HET
chr8	8092405	11898991	2	1	1	2	0.45	HET
chr8	11972999	12470139	2	2	0	2	0.45	NLOH
chr8	12470441	12899352	2	1	1	2	0.45	HET
chr8	12900215	13086166	4	2	2	2	0.45	BCNA
chr8	13086556	43836979	2	1	1	2	0.45	HET
chr8	46840186	146298920	2	1	1	2	0.45	HET
chr9	10712	38787712	2	1	1	2	0.45	HET
chr9	38789756	47266235	2	1	1	2	0.45	HET
chr9	65471575	70966347	2	2	0	2	0.45	NLOH
chr9	70967073	141122709	2	1	1	2	0.45	HET
chr10	61419	112041	4	3	1	2	0.45	ASCNA
chr10	113090	38771248	2	1	1	2	0.45	HET
chr10	38772636	38890752	2	1	1	2	0.45	HET
chr10	38891261	39074909	2	1	1	2	0.45	HET
chr10	39075176	39154721	2	1	1	2	0.45	HET
chr10	42355156	42814815	1	1	0	2	0.45	DLOH
chr10	42832158	46654601	2	1	1	2	0.45	HET
chr10	46688481	47145428	3	2	1	2	0.45	ASCNA
chr10	47145536	135524062	2	1	1	2	0.45	HET
chr11	123422	36409762	2	2	0	2	0.45	NLOH
chr11	36412655	36606387	3	2	1	2	0.45	ASCNA
chr11	36649198	51593491	2	2	0	2	0.45	NLOH
chr11	54761692	134945710	2	1	1	2	0.45	HET
chr12	60845	186149	2	1	1	2	0.45	HET
chr12	208894	34855589	2	1	1	2	0.45	HET
chr12	37860172	133831319	2	1	1	2	0.45	HET
chr13	19022393	115108598	2	1	1	2	0.45	HET
chr14	19001246	20413692	2	1	1	2	0.45	HET
chr14	20415096	99582467	2	1	1	2	0.45	HET
chr14	99583294	107288377	4	3	1	2	0.45	ASCNA
chr15	20000638	23282791	2	1	1	2	0.45	HET
chr15	23283044	28566710	2	2	0	2	0.45	NLOH
chr15	28566742	28938071	2	2	0	2	0.45	NLOH
chr15	28939383	30907163	2	1	1	2	0.45	HET
chr15	30909048	79163878	2	1	1	2	0.45	HET
chr15	79165441	79342669	2	1	1	2	0.45	HET
chr15	79343534	102432136	2	1	1	2	0.45	HET
chr15	102438805	102503167	1	1	0	2	0.45	DLOH
chr16	61076	14924032	2	1	1	2	0.45	HET
chr16	14940926	15086811	2	2	0	2	0.45	NLOH
chr16	15090984	31906572	2	2	0	2	0.45	NLOH
chr16	31907507	35285582	2	1	1	2	0.45	HET
chr16	46387220	46790497	1	1	0	2	0.45	DLOH
chr16	46793248	90291063	2	1	1	2	0.45	HET
chr17	1665	21206971	2	1	1	2	0.45	HET
chr17	21207276	21352867	1	1	0	2	0.45	DLOH
chr17	21356143	22262808	2	1	1	2	0.45	HET
chr17	25264121	25429753	1	1	0	2	0.45	DLOH
chr17	25429877	28988749	2	1	1	2	0.45	HET
chr17	28994274	30404896	1	1	0	2	0.45	DLOH
chr17	30404979	81185372	2	1	1	2	0.45	HET
chr18	10147	26073	4	3	1	2	0.45	ASCNA
chr18	26253	15072863	2	1	1	2	0.45	HET
chr18	15089453	15410735	2	2	0	2	0.45	NLOH
