chr	start	end	width	nvar	copy_number	lohtype	major_allele	minor_allele
chr1	15447	736852	721405.0	2	3	ASCNA		
chr1	737283	12863354	12126071.0	2	2	HET		
chr1	12863924	13298134	434210.0	2	3	ASCNA		
chr1	13298406	16504338	3205932.0	2	2	HET		
chr1	16504873	16896442	391569.0	2	3	ASCNA		
chr1	16896492	124994266	108097774.0	2	2	HET		
chr1	125009396	248945365	123935969.0	2	2	HET		
chr2	24263	89311293	89287030.0	2	2	HET		
chr2	89312975	89870813	557838.0	2	2	HET		
chr2	89871604	93285036	3413432.0	2	2	HET		
chr2	93307595	94200543	892948.0	2	3	ASCNA		
chr2	94203345	113410205	19206860.0	2	2	HET		
chr2	113421019	113624376	203357.0	2	3	ASCNA		
chr2	113654180	242181520	128527340.0	2	2	HET		
chr3	12486	90717725	90705239.0	2	2	HET		
chr3	90718444	90997567	279123.0	2	3	ASCNA		
chr3	91001521	91293215	291694.0	2	2	HET		
chr3	91294702	100618273	9323571.0	2	2	HET		
chr3	100619241	100722872	103631.0	2	3	ASCNA		
chr3	100723542	195616172	94892630.0	2	2	HET		
chr3	195618335	195748435	130100.0	2	3	ASCNA		
chr3	195749118	198174928	2425810.0	2	2	HET		
chr4	10642	49098747	49088105.0	2	2	HET		
chr4	49104400	50351409	1247009.0	2	2	HET		
chr4	50420797	51633905	1213108.0	2	2	HET		
chr4	51637923	190038136	138400213.0	2	2	HET		
chr4	190038524	190203030	164506.0	2	3	ASCNA		
chr5	13589	46573016	46559427.0	2	2	HET		
chr5	46573078	47297581	724503.0	2	2	HET		
chr5	49592124	175928450	126336326.0	2	2	HET		
chr5	175929463	176107681	178218.0	2	3	ASCNA		
chr5	176108588	181475100	5366512.0	2	2	NLOH		
chr6	64204	374712	310508.0	2	2	HET		
chr6	375196	60999955	60624759.0	2	2	HET		
chr6	61000522	170743497	109742975.0	2	2	HET		
chr7	24443	56922724	56898281.0	2	2	HET		
chr7	56924421	57079075	154654.0	2	2	HET		
chr7	57081744	59877390	2795646.0	2	2	HET		
chr7	60006177	77081856	17075679.0	2	2	NLOH		
chr7	77081996	102478605	25396609.0	2	2	HET		
chr7	102479180	102684136	204956.0	2	3	ASCNA		
chr7	102692001	102759977	67976.0	2	2	HET		
chr7	102760541	159334896	56574355.0	2	2	HET		
chr8	73771	152539	78768.0	2	3	ASCNA		
chr8	157764	7372177	7214413.0	2	2	NLOH		
chr8	7372239	8233090	860851.0	2	2	HET		
chr8	8234503	12152296	3917793.0	2	2	NLOH		
chr8	12159929	12613084	453155.0	2	3	ASCNA		
chr8	12613224	43980621	31367397.0	2	2	HET		
chr8	43980712	45511091	1530379.0	2	3	ASCNA		
chr8	45620673	145071882	99451209.0	2	2	HET		
chr9	10712	166825	156113.0	2	2	HET		
chr9	172941	38877068	38704127.0	2	2	HET		
chr9	38877471	45510439	6632968.0	2	2	NLOH		
chr9	60538123	68337392	7799269.0	2	2	HET		
chr9	68338321	138300369	69962048.0	2	2	HET		
chr10	11528	40101224	40089696.0	2	2	HET		
chr10	40216737	42270841	2054104.0	2	2	HET		
chr10	42273390	133457626	91184236.0	2	2	HET		
chr10	133459443	133776206	316763.0	2	2	HET		
chr11	102905	51125086	51022181.0	2	2	HET		
chr11	51212072	53685146	2473074.0	2	2	HET		
chr11	53716335	54542424	826089.0	2	2	HET		
chr11	54543114	89743319	35200205.0	2	2	HET		
chr11	89747690	90016724	269034.0	2	3	ASCNA		
chr11	90017558	135076140	45058582.0	2	2	NLOH		
chr12	12749	67521	54772.0	2	3	ASCNA		
chr12	67897	34718215	34650318.0	2	2	HET		
chr12	34772506	35788177	1015671.0	2	2	HET		
chr12	35801917	37020559	1218642.0	2	2	HET		
chr12	37038484	133263837	96225353.0	2	2	HET		
chr13	18171575	18234436	62861.0	2	2	HET		
chr13	18252007	52218470	33966463.0	2	2	HET		
chr13	52218883	52331944	113061.0	2	3	ASCNA		
chr13	52332141	114352403	62020262.0	2	2	HET		
chr14	16023334	16095996	72662.0	2	2	HET		
chr14	18223945	19721508	1497563.0	2	2	HET		
chr14	19722403	106864158	87141755.0	2	2	HET		
chr15	17010878	18946107	1935229.0	2	2	NLOH		
chr15	19043576	21927815	2884239.0	2	2	HET		
chr15	21929249	28339861	6410612.0	2	2	HET		
chr15	28346082	28706648	360566.0	2	2	HET		
chr15	28709168	32606610	3897442.0	2	2	HET		
chr15	32607333	101980205	69372872.0	2	2	HET		
chr16	16640	14895563	14878923.0	2	2	HET		
chr16	14901841	15011941	110100.0	2	3	ASCNA		
chr16	15012689	15338592	325903.0	2	2	HET		
chr16	15348422	16329208	980786.0	2	2	HET		
chr16	16334197	16702779	368582.0	2	2	HET		
chr16	16704614	18075072	1370458.0	2	2	HET		
chr16	18075748	18751868	676120.0	2	2	HET		
chr16	18755547	31683574	12928027.0	2	2	HET		
chr16	31685920	34008841	2322921.0	2	2	HET		
chr16	34009947	36416585	2406638.0	2	2	HET		
chr16	36714607	90101788	53387181.0	2	2	HET		
chr16	90107617	90207776	100159.0	2	4	ASCNA		
chr17	116490	16753226	16636736.0	2	2	HET		
chr17	16753367	16850140	96773.0	2	3	ASCNA		
chr17	16853818	18368607	1514789.0	2	2	NLOH		
chr17	18384524	18618398	233874.0	2	3	ASCNA		
chr17	18619321	22749041	4129720.0	2	2	HET		
chr17	22751688	23192881	441193.0	2	3	ASCNA		
chr17	25074459	26976475	1902016.0	2	2	HET		
chr17	26976500	46093841	19117341.0	2	2	HET		
chr17	46094391	46260232	165841.0	2	3	ASCNA		
chr17	46260394	83226908	36966514.0	2	2	HET		
chr18	14929	119689	104760.0	2	2	HET		
chr18	119888	15374885	15254997.0	2	2	HET		
chr18	15376203	17102726	1726523.0	2	2	HET		
chr18	17213706	20833080	3619374.0	2	2	HET		
chr18	20834103	80261792	59427689.0	2	2	HET		
chr19	61774	24341015	24279241.0	2	2	HET		
chr19	24341380	26427012	2085632.0	2	2	HET		
chr19	27242175	33286261	6044086.0	2	2	HET		
chr19	33294849	33313493	18644.0	2	5	ASCNA		
chr19	33313938	37302715	3988777.0	2	2	HET		
chr19	37303626	37353404	49778.0	2	4	ASCNA		
chr19	37354602	58607249	21252647.0	2	2	HET		
chr20	68303	27466501	27398198.0	2	2	NLOH		
chr20	27689906	64333832	36643926.0	2	2	HET		
chr21	5142054	10812305	5670251.0	2	2	HET		
chr21	10814321	13195277	2380956.0	2	2	HET		
chr21	13221699	46699658	33477959.0	2	2	HET		
chr22	10511266	14083548	3572282.0	2	2	HET		
chr22	15158310	15911130	752820.0	2	2	HET		
chr22	15911740	18174907	2263167.0	2	2	HET		
chr22	18177918	18876527	698609.0	2	3	ASCNA		
chr22	18877728	21114567	2236839.0	2	2	HET		
chr22	21115579	21342429	226850.0	2	3	ASCNA		
chr22	21350161	50807830	29457669.0	2	2	HET		
