chr	start	end	width	nvar	copy_number	lohtype	major_allele	minor_allele
chr1	13649	872748	859099.0	2	3	ASCNA		
chr1	875400	12838814	11963414.0	2	2	HET		
chr1	12841781	13368215	526434.0	2	2	HET		
chr1	13368325	16506575	3138250.0	2	2	HET		
chr1	16507625	16947633	440008.0	2	3	ASCNA		
chr1	16949400	119904010	102954610.0	2	2	HET		
chr1	119945248	124997413	5052165.0	2	2	HET		
chr1	125004557	146262299	21257742.0	2	2	NLOH		
chr1	146308374	148685573	2377199.0	2	3	ASCNA		
chr1	148695035	149283948	588913.0	2	2	HET		
chr1	149285786	248944397	99658611.0	2	3	ASCNA		
chr2	11607	16780303	16768696.0	2	2	HET		
chr2	16843534	17824256	980722.0	2	1	DLOH		
chr2	17852417	86665499	68813082.0	2	2	HET		
chr2	86719284	87964892	1245608.0	2	2	HET		
chr2	87965627	93285109	5319482.0	2	2	HET		
chr2	93313067	94291545	978478.0	2	2	HET		
chr2	94503682	242158130	147654448.0	2	2	HET		
chr2	242158341	242183318	24977.0	2	2	HET		
chr3	12486	90667961	90655475.0	2	2	HET		
chr3	90668060	90997608	329548.0	2	3	ASCNA		
chr3	91001229	91283474	282245.0	2	3	ASCNA		
chr3	91285200	125769680	34484480.0	2	2	HET		
chr3	125879533	134722322	8842789.0	2	2	NLOH		
chr3	134825180	195618565	60793385.0	2	2	HET		
chr3	195618957	195749939	130982.0	2	2	HET		
chr3	195750217	198172017	2421800.0	2	2	HET		
chr4	10742	68298	57556.0	2	3	ASCNA		
chr4	72156	49100413	49028257.0	2	2	HET		
chr4	49100854	50392007	1291153.0	2	2	NLOH		
chr4	50402015	51594972	1192957.0	2	2	HET		
chr4	51595097	105003429	53408332.0	2	2	HET		
chr4	105443622	111437880	5994258.0	2	2	HET		
chr4	113854293	190041894	76187601.0	2	2	HET		
chr4	190044555	190204290	159735.0	2	3	ASCNA		
chr5	20510	46401605	46381095.0	2	2	HET		
chr5	46414295	47075296	661001.0	2	3	ASCNA		
chr5	47082440	47105172	22732.0	2	2	HET		
chr5	47108458	47307793	199335.0	2	2	HET		
chr5	49613659	50145222	531563.0	2	2	HET		
chr5	50157179	69532359	19375180.0	2	2	HET		
chr5	69532469	71331746	1799277.0	2	2	HET		
chr5	71360262	175901876	104541614.0	2	2	HET		
chr5	175909101	176305645	396544.0	2	2	HET		
chr5	176320784	181477761	5156977.0	2	2	NLOH		
chr6	110163	254883	144720.0	2	1	DLOH		
chr6	257461	381886	124425.0	2	2	HET		
chr6	382111	17587050	17204939.0	2	1	DLOH		
chr6	17587129	27610290	10023161.0	2	1	DLOH		
chr6	28971743	60934120	31962377.0	2	2	NLOH		
chr6	61631335	126554250	64922915.0	2	2	HET		
chr6	127160415	170743540	43583125.0	2	2	HET		
chr7	23691	59877390	59853699.0	2	2	HET		
chr7	59960264	63514103	3553839.0	2	2	NLOH		
chr7	63516067	63642495	126428.0	2	3	ASCNA		
