chr	start	end	copynumber	A	B	ploidy	cellularity	lohtype
chr1	10492	749482	6	4	2	6	0.78	HET
chr1	758351	12863507	6	3	3	6	0.78	HET
chr1	12863924	13234016	6	3	3	6	0.78	HET
chr1	13235361	13256376	8	6	2	6	0.78	ASCNA
chr1	13260128	16494669	6	3	3	6	0.78	HET
chr1	16507625	16947464	6	4	2	6	0.78	HET
chr1	16949400	120061588	6	3	3	6	0.78	HET
chr1	120061786	121771470	6	3	3	6	0.78	HET
chr1	121771543	124997413	6	4	2	6	0.78	HET
chr1	125005356	147026877	6	4	2	6	0.78	HET
chr1	147028220	248943839	6	3	3	6	0.78	HET
chr2	11042	87345349	6	3	3	6	0.78	HET
chr2	87345906	87565296	6	3	3	6	0.78	HET
chr2	87568594	89248174	6	3	3	6	0.78	HET
chr2	89248380	93286300	6	3	3	6	0.78	HET
chr2	93314490	94203345	6	3	3	6	0.78	HET
chr2	94205703	111272860	6	3	3	6	0.78	HET
chr2	111286285	111595389	6	3	3	6	0.78	HET
chr2	111602605	113442421	6	5	1	6	0.78	HET
chr2	113443229	113624076	6	3	3	6	0.78	HET
chr2	113624863	242006286	6	3	3	6	0.78	HET
chr2	242006840	242182922	7	4	3	6	0.78	ASCNA
chr3	12486	90718136	6	3	3	6	0.78	HET
chr3	90720368	90992973	6	4	2	6	0.78	HET
chr3	91000508	91257470	6	3	3	6	0.78	HET
chr3	91277643	91543235	6	3	3	6	0.78	HET
chr3	91547612	93714319	6	4	2	6	0.78	HET
chr3	93715250	167721480	6	3	3	6	0.78	HET
chr3	167721609	198181229	9	6	3	6	0.78	ASCNA
chr4	12155	68645	7	5	2	6	0.78	ASCNA
chr4	70063	49154696	6	3	3	6	0.78	HET
chr4	49155548	50392770	6	4	2	6	0.78	HET
chr4	50415136	51795991	6	3	3	6	0.78	HET
chr4	51812829	190024789	6	3	3	6	0.78	HET
chr4	190024937	190203030	6	4	2	6	0.78	HET
chr5	15950	686947	6	3	3	6	0.78	HET
chr5	692907	787767	7	5	2	6	0.78	ASCNA
chr5	788121	46434210	6	3	3	6	0.78	HET
chr5	46435295	47308288	6	3	3	6	0.78	HET
chr5	49599953	50142734	7	5	2	6	0.78	ASCNA
chr5	50144019	175923279	6	3	3	6	0.78	HET
chr5	175923499	176106582	6	3	3	6	0.78	HET
chr5	176125376	181287438	6	5	1	6	0.78	HET
chr5	181290418	181475100	7	5	2	6	0.78	ASCNA
chr6	64204	295604	6	3	3	6	0.78	HET
chr6	295778	382111	6	4	2	6	0.78	HET
chr6	424915	60999838	6	3	3	6	0.78	HET
chr6	61000221	104994013	6	3	3	6	0.78	HET
chr6	104997489	170611108	3	3	0	6	0.78	DLOH
chr6	170640200	170743497	6	3	3	6	0.78	HET
chr7	24353	56922707	6	5	1	6	0.78	HET
chr7	56924421	57084759	6	4	2	6	0.78	HET
chr7	57084970	58065767	6	3	3	6	0.78	HET
chr7	58070209	59877390	6	4	2	6	0.78	HET
chr7	59974941	61720487	6	4	2	6	0.78	HET
chr7	61730831	63482175	6	3	3	6	0.78	HET
chr7	63482476	63643897	7	5	2	6	0.78	ASCNA
chr7	63644231	72950441	6	5	1	6	0.78	HET
chr7	72954102	73191647	7	5	2	6	0.78	ASCNA
chr7	73195378	74753158	6	3	3	6	0.78	HET
chr7	74761478	102480374	6	3	3	6	0.78	HET
chr7	102482173	102718611	6	4	2	6	0.78	HET
chr7	102722168	142343367	3	3	0	6	0.78	DLOH
chr7	142346923	142426465	4	2	2	6	0.78	HET
chr7	142426674	143545625	3	3	0	6	0.78	DLOH
chr7	143562425	143870890	4	2	2	6	0.78	HET
chr7	143875193	144180114	3	3	0	6	0.78	DLOH
chr7	144181288	144499445	4	2	2	6	0.78	HET
chr7	144503562	153986871	3	3	0	6	0.78	DLOH
chr7	153989493	154109329	3	2	1	6	0.78	HET
chr7	154204118	159335483	3	3	0	6	0.78	DLOH
chr8	73534	7348337	6	3	3	6	0.78	HET
chr8	7349140	8205350	5	3	2	6	0.78	HET
chr8	8230708	12122125	6	3	3	6	0.78	HET
chr8	12122577	12612049	7	5	2	6	0.78	ASCNA
chr8	12612322	43943740	6	3	3	6	0.78	HET
chr8	43946341	45528098	7	4	3	6	0.78	ASCNA
chr8	45756303	145072952	6	3	3	6	0.78	HET
chr9	10869	189547	6	4	2	6	0.78	HET
chr9	192574	38787694	6	3	3	6	0.78	HET
chr9	38788226	43387828	6	3	3	6	0.78	HET
chr9	43387840	45515009	6	4	2	6	0.78	HET
chr9	60521214	68330549	6	3	3	6	0.78	HET
chr9	68331407	138235377	6	3	3	6	0.78	HET
chr10	11528	2500493	3	3	0	6	0.78	DLOH
chr10	2517442	38639789	6	3	3	6	0.78	HET
chr10	38639854	40192624	7	5	2	6	0.78	ASCNA
chr10	40216737	41705468	6	4	2	6	0.78	HET
chr10	41706387	41848409	6	5	1	6	0.78	HET
chr10	41849712	42082187	7	5	2	6	0.78	ASCNA
chr10	42082909	42295182	6	3	3	6	0.78	HET
chr10	42296597	46344930	6	3	3	6	0.78	HET
chr10	46347124	47767410	6	3	3	6	0.78	HET
chr10	47873228	48147345	6	3	3	6	0.78	HET
chr10	48147844	133622914	6	3	3	6	0.78	HET
chr10	133623049	133787009	6	4	2	6	0.78	HET
chr11	102905	193863	6	4	2	6	0.78	HET
chr11	195102	51124959	6	3	3	6	0.78	HET
chr11	51124976	53663028	6	4	2	6	0.78	HET
chr11	53716483	54536745	7	4	3	6	0.78	ASCNA
chr11	54537848	127779507	6	5	1	6	0.78	HET
chr11	127794410	135075871	9	6	3	6	0.78	ASCNA
chr12	12749	77606	7	4	3	6	0.78	ASCNA
chr12	78055	34935512	6	3	3	6	0.78	HET
chr12	34950924	35791926	6	4	2	6	0.78	HET
chr12	35801434	36989809	7	5	2	6	0.78	ASCNA
chr12	37011520	44932806	6	5	1	6	0.78	HET
chr12	44934717	44951097	2	2	0	6	0.78	DLOH
chr12	44960686	133263661	6	3	3	6	0.78	HET
chr13	18171543	18356553	7	5	2	6	0.78	ASCNA
chr13	18408568	112285036	6	3	3	6	0.78	HET
chr13	112285631	112311326	7	5	2	6	0.78	ASCNA
chr13	112311676	114352893	6	3	3	6	0.78	HET
chr14	16023030	16096021	6	3	3	6	0.78	HET
chr14	18224343	19704507	6	3	3	6	0.78	HET
chr14	19706162	105552677	6	3	3	6	0.78	HET
chr14	105564875	106883582	6	3	3	6	0.78	HET
chr15	17000678	18047622	6	3	3	6	0.78	HET
chr15	18218581	18946107	5	4	1	6	0.78	HET
chr15	19118539	19997554	5	3	2	6	0.78	HET
chr15	20001483	21547672	6	4	2	6	0.78	HET
chr15	21549702	23117853	6	3	3	6	0.78	HET
chr15	23130759	23223405	7	5	2	6	0.78	ASCNA
chr15	23224946	30077711	6	3	3	6	0.78	HET
chr15	30079571	30604196	6	3	3	6	0.78	HET
chr15	30607427	32153469	7	6	1	6	0.78	ASCNA
chr15	32158503	32593977	6	3	3	6	0.78	HET
chr15	32603691	34369652	6	3	3	6	0.78	HET
chr15	34371813	34403854	7	5	2	6	0.78	ASCNA
chr15	34404555	82420598	6	3	3	6	0.78	HET
chr15	82421140	82521649	6	3	3	6	0.78	HET
chr15	82522165	101895470	6	3	3	6	0.78	HET
chr15	101899329	101975126	6	4	2	6	0.78	HET
chr16	11349	16272759	6	3	3	6	0.78	HET
chr16	16329097	16734793	6	4	2	6	0.78	HET
chr16	16737234	18070841	6	3	3	6	0.78	HET
chr16	18071186	18756583	6	3	3	6	0.78	HET
chr16	18757371	22448991	6	3	3	6	0.78	HET
chr16	22449357	22686995	6	5	1	6	0.78	HET
chr16	22688424	32078856	6	3	3	6	0.78	HET
chr16	32082918	36416585	6	3	3	6	0.78	HET
chr16	36715655	70121490	6	3	3	6	0.78	HET
chr16	70121585	70203008	7	5	2	6	0.78	ASCNA
chr16	70204513	74358427	6	3	3	6	0.78	HET
chr16	74360527	74428310	6	4	2	6	0.78	HET
chr16	74429145	90224655	6	3	3	6	0.78	HET
chr17	118358	22744696	6	3	3	6	0.78	HET
chr17	22745858	23411887	6	4	2	6	0.78	HET
chr17	24497144	26975472	6	4	2	6	0.78	HET
chr17	26976475	36109315	6	3	3	6	0.78	HET
chr17	36109988	36195866	7	5	2	6	0.78	ASCNA
chr17	36195939	37890185	6	3	3	6	0.78	HET
chr17	37891581	38210382	7	5	2	6	0.78	ASCNA
chr17	38251052	45492543	6	5	1	6	0.78	HET
chr17	45492860	45611724	6	3	3	6	0.78	HET
chr17	45612318	46088714	6	5	1	6	0.78	HET
chr17	46088945	46135161	7	5	2	6	0.78	ASCNA
chr17	46135416	46266353	6	3	3	6	0.78	HET
chr17	46266564	46614293	6	4	2	6	0.78	HET
chr17	46620807	83188295	6	3	3	6	0.78	HET
chr17	83192291	83240042	6	4	2	6	0.78	HET
chr18	14929	47042	6	4	2	6	0.78	HET
chr18	49125	15403845	6	3	3	6	0.78	HET
chr18	15404928	17171749	6	4	2	6	0.78	HET
chr18	17309926	20917610	6	4	2	6	0.78	HET
chr18	20922751	80256725	6	3	3	6	0.78	HET
chr19	71178	245162	7	4	3	6	0.78	ASCNA
chr19	245343	24435157	6	3	3	6	0.78	HET
chr19	24435581	25317818	6	3	3	6	0.78	HET
chr19	26610271	54736240	6	3	3	6	0.78	HET
chr19	54736515	54785783	6	4	2	6	0.78	HET
chr19	54786503	58604957	6	5	1	6	0.78	HET
chr20	60341	26384840	6	3	3	6	0.78	HET
chr20	26385553	27407775	6	4	2	6	0.78	HET
chr20	27631486	31000909	6	3	3	6	0.78	HET
chr20	31001041	31097082	9	6	3	6	0.78	ASCNA
chr20	31097247	64287476	6	3	3	6	0.78	HET
chr20	64287790	64333832	7	5	2	6	0.78	ASCNA
chr21	5093716	13197754	6	4	2	6	0.78	HET
chr21	13205728	13871423	6	5	1	6	0.78	HET
chr21	13871559	13899772	7	5	2	6	0.78	ASCNA
chr21	13899979	46686880	6	3	3	6	0.78	HET
chr21	46686969	46699378	8	6	2	6	0.78	ASCNA
chr22	10510983	12903760	6	3	3	6	0.78	HET
chr22	15157537	15957229	6	3	3	6	0.78	HET
chr22	15957652	18129459	6	3	3	6	0.78	HET
chr22	18175977	18892039	6	3	3	6	0.78	HET
chr22	18892949	21114567	7	6	1	6	0.78	ASCNA
chr22	21114582	21556455	6	3	3	6	0.78	HET
chr22	21557912	42503507	6	3	3	6	0.78	HET
chr22	42506272	42554355	6	4	2	6	0.78	HET
chr22	42557098	50807650	6	5	1	6	0.78	HET
