chr	start	end	width	nvar	copy_number	lohtype	major_allele	minor_allele
chr1	13079	257881	244802.0	2	2	HET		
chr1	534104	674456	140352.0	2	0	HOMD		
chr1	675146	1571674	896528.0	2	0	HOMD		
chr1	1579722	1595538	15816.0	2	0	HOMD		
chr1	1603236	2973433	1370197.0	2	0	HOMD		
chr1	2973576	16832224	13858648.0	2	2	HET		
chr1	16834501	17191354	356853.0	2	2	NLOH		
chr1	17192887	121485217	104292330.0	2	2	HET		
chr1	142571010	249239465	106668455.0	2	2	HET		
chr2	11320	43448658	43437338.0	2	7	ASCNA		
chr2	43471196	90371783	46900587.0	2	2	HET		
chr2	90371797	92325826	1954029.0	2	2	NLOH		
chr2	95330013	243157377	147827364.0	2	2	HET		
chr3	61762	90495235	90433473.0	2	2	HET		
chr3	93512412	195196089	101683677.0	2	2	HET		
chr3	195212450	195230140	17690.0	2	8	ASCNA		
chr3	195230259	197746768	2516509.0	2	2	HET		
chr4	11453	49098904	49087451.0	2	2	HET		
chr4	49099825	49659331	559506.0	2	2	NLOH		
chr4	52660855	191043542	138382687.0	2	2	HET		
chr5	13329	756558	743229.0	2	10	ASCNA		
chr5	756784	847220	90436.0	2	4	ASCNA		
chr5	848745	46404402	45555657.0	2	2	HET		
chr5	49410983	68917457	19506474.0	2	2	HET		
chr5	68924120	70664918	1740798.0	2	2	HET		
chr5	70665606	180744075	110078469.0	2	2	HET		
chr6	154801	58779328	58624527.0	2	2	HET		
chr6	61911693	113039362	51127669.0	2	2	HET		
chr6	113039912	171030428	57990516.0	2	2	NLOH		
chr7	17015	37791	20776.0	2	5	ASCNA		
chr7	38758	56978832	56940074.0	2	2	HET		
chr7	56988624	57146782	158158.0	2	5	ASCNA		
chr7	57148837	58054207	905370.0	2	2	HET		
chr7	61056667	61582442	525775.0	2	3	ASCNA		
chr7	61633901	102112397	40478496.0	2	2	HET		
chr7	102112980	102334106	221126.0	2	3	ASCNA		
chr7	102335321	158930751	56595430.0	2	2	HET		
chr8	23872	7016178	6992306.0	2	2	HET		
chr8	7016425	8206954	1190529.0	2	2	HET		
chr8	8227519	11830877	3603358.0	2	2	HET		
chr8	11831788	12489074	657286.0	2	2	NLOH		
chr8	12492285	43820459	31328174.0	2	2	HET		
chr8	46839525	146300763	99461238.0	2	2	HET		
chr9	10671	38764115	38753444.0	2	2	HET		
chr9	38768825	47249443	8480618.0	2	2	HET		
chr9	65472144	68989111	3516967.0	2	2	HET		
chr9	68989470	141111026	72121556.0	2	2	HET		
chr10	62057	39154363	39092306.0	2	2	HET		
chr10	42355092	135428265	93073173.0	2	2	HET		
chr10	135436553	135523057	86504.0	2	3	ASCNA		
chr11	123066	4242128	4119062.0	2	2	HET		
chr11	4242443	4393370	150927.0	2	2	NLOH		
chr11	4401360	51572573	47171213.0	2	2	HET		
chr11	51573662	51592991	19329.0	2	3	ASCNA		
chr11	54702116	134876110	80173994.0	2	2	HET		
chr12	62156	34856380	34794224.0	2	2	HET		
chr12	37856814	133840247	95983433.0	2	2	HET		
chr13	19020559	19161392	140833.0	2	4	ASCNA		
chr13	19182257	115096858	95914601.0	2	2	HET		
chr14	19000498	20416854	1416356.0	2	2	HET		
chr14	20417675	106046119	85628444.0	2	2	HET		
chr14	106050098	107288377	1238279.0	2	1	DLOH		
chr15	20000638	22593765	2593127.0	2	2	NLOH		
chr15	22593795	102520572	79926777.0	2	2	HET		
chr16	61349	22419217	22357868.0	2	2	HET		
chr16	22460306	22703151	242845.0	2	2	HET		
chr16	22703654	32117619	9413965.0	2	2	HET		
chr16	32117931	33411643	1293712.0	2	2	NLOH		
chr16	33413535	35274604	1861069.0	2	4	ASCNA		
chr16	46386886	74403068	28016182.0	2	2	HET		
chr16	74403939	74466127	62188.0	2	4	ASCNA		
chr16	74467693	90168443	15700750.0	2	2	HET		
chr16	90178189	90292939	114750.0	2	4	ASCNA		
chr17	1665	22261416	22259751.0	2	2	HET		
chr17	25264733	25292088	27355.0	2	5	ASCNA		
chr17	25292094	34437963	9145869.0	2	2	NLOH		
chr17	34438693	34823204	384511.0	2	3	ASCNA		
chr17	34824845	44207360	9382515.0	2	2	HET		
chr17	44207523	44770791	563268.0	2	3	ASCNA		
chr17	44772652	79168268	34395616.0	2	2	HET		
chr18	11750	44536	32786.0	2	6	ASCNA		
chr18	44831	15409751	15364920.0	2	2	HET		
chr18	18513430	75831848	57318418.0	2	2	HET		
chr19	81769	24628707	24546938.0	2	2	HET		
chr19	27732058	59116430	31384372.0	2	2	HET		
chr20	68749	26319046	26250297.0	2	2	HET		
chr20	29420297	61649386	32229089.0	2	2	HET		
chr21	9411485	10032940	621455.0	2	3	ASCNA		
chr21	10033187	11001925	968738.0	2	3	ASCNA		
chr21	11005308	11187432	182124.0	2	3	ASCNA		
chr21	14339517	14593732	254215.0	2	5	ASCNA		
chr21	14595037	48103049	33508012.0	2	2	HET		
chr21	48106654	48119605	12951.0	2	0	HOMD		
chr22	16288538	18650966	2362428.0	2	2	HET		
chr22	18651172	18874537	223365.0	2	2	NLOH		
chr22	18874728	21470722	2595994.0	2	3	ASCNA		
chr22	21470917	21916166	445249.0	2	2	HET		
chr22	21916272	51242901	29326629.0	2	2	HET		
