chr	start	end	copynumber	A	B	ploidy	cellularity	lohtype
chr1	10109	12870374	2	1	1	2	0.99	HET
chr1	12871327	13824439	2	1	1	2	0.99	HET
chr1	13825195	16833352	2	1	1	2	0.99	HET
chr1	16833852	17275895	2	1	1	2	0.99	HET
chr1	17281003	120446294	2	1	1	2	0.99	HET
chr1	120469077	121485379	2	1	1	2	0.99	HET
chr1	142535974	143680205	2	1	1	2	0.99	HET
chr1	143727101	145078609	2	1	1	2	0.99	HET
chr1	145078991	145381941	3	2	1	2	0.99	ASCNA
chr1	145382511	147919966	2	1	1	2	0.99	HET
chr1	147920976	149785529	2	1	1	2	0.99	HET
chr1	149815323	249240395	2	1	1	2	0.99	HET
chr2	13241	85122925	2	1	1	2	0.99	HET
chr2	85124399	89834778	2	1	1	2	0.99	HET
chr2	89835511	92323818	2	1	1	2	0.99	HET
chr2	95328623	114414087	2	1	1	2	0.99	HET
chr2	114414869	132457062	2	2	0	2	0.99	NLOH
chr2	132495198	133037311	2	1	1	2	0.99	HET
chr2	133037397	216207225	2	1	1	2	0.99	HET
chr2	216207875	216302834	4	2	2	2	0.99	BCNA
chr2	216307103	243178953	2	1	1	2	0.99	HET
chr3	60596	75423435	2	1	1	2	0.99	HET
chr3	75423634	75996770	3	2	1	2	0.99	ASCNA
chr3	75996796	90504645	2	1	1	2	0.99	HET
chr3	93505463	171747612	2	1	1	2	0.99	HET
chr3	171748344	172137062	2	1	1	2	0.99	HET
chr3	172137165	195342802	2	1	1	2	0.99	HET
chr3	195343058	195720695	2	1	1	2	0.99	HET
chr3	195720855	197922510	2	1	1	2	0.99	HET
chr4	10059	67547	3	2	1	2	0.99	ASCNA
chr4	67846	49086529	2	1	1	2	0.99	HET
chr4	49093429	49660011	3	2	1	2	0.99	ASCNA
chr4	52703610	95360346	2	1	1	2	0.99	HET
chr4	95363463	95611549	2	1	1	2	0.99	HET
chr4	95611847	190528138	2	1	1	2	0.99	HET
chr4	190528443	190676108	3	2	1	2	0.99	ASCNA
chr4	190677194	191043877	2	1	1	2	0.99	HET
chr5	11580	14009414	2	2	0	2	0.99	NLOH
chr5	14009923	46405107	2	1	1	2	0.99	HET
chr5	49405845	180904762	2	1	1	2	0.99	HET
chr6	73928	254207	2	1	1	2	0.99	HET
chr6	254883	380253	3	2	1	2	0.99	ASCNA
chr6	382111	57367924	2	1	1	2	0.99	HET
chr6	57369123	57565619	3	2	1	2	0.99	ASCNA
chr6	57565694	58779308	2	1	1	2	0.99	HET
chr6	61882658	170971107	2	1	1	2	0.99	HET
chr7	23992	58049414	2	1	1	2	0.99	HET
chr7	61054411	143218545	2	1	1	2	0.99	HET
chr7	143219678	159128337	2	1	1	2	0.99	HET
chr8	25951	12202005	3	2	1	2	0.99	ASCNA
chr8	12203305	12251162	5	3	2	2	0.99	ASCNA
chr8	12258646	13139150	3	2	1	2	0.99	ASCNA
chr8	13140872	43836979	3	2	1	2	0.99	ASCNA
chr8	46840186	146300229	3	2	1	2	0.99	ASCNA
chr9	10869	41224639	2	1	1	2	0.99	HET
chr9	41233148	47266235	2	1	1	2	0.99	HET
chr9	65478102	70937242	2	1	1	2	0.99	HET
chr9	70939769	141033454	2	1	1	2	0.99	HET
chr9	141034077	141111026	3	2	1	2	0.99	ASCNA
chr10	65087	39154721	2	1	1	2	0.99	HET
chr10	42355285	42714322	3	2	1	2	0.99	ASCNA
chr10	42714582	47056016	2	1	1	2	0.99	HET
chr10	47056270	47126962	2	1	1	2	0.99	HET
chr10	47127469	135524334	2	1	1	2	0.99	HET
chr11	123350	51593491	2	1	1	2	0.99	HET
