chr	start	end	copynumber	A	B	ploidy	cellularity	lohtype
chr1	16378	731666	3	2	1	2	0.64	ASCNA
chr1	732286	12861272	2	1	1	2	0.64	HET
chr1	12861477	13308590	2	1	1	2	0.64	HET
chr1	13310218	16532838	2	1	1	2	0.64	HET
chr1	16534450	16865864	2	1	1	2	0.64	HET
chr1	16866392	120034755	2	1	1	2	0.64	HET
chr1	120063263	121591363	2	1	1	2	0.64	HET
chr1	121599788	124940206	2	2	0	2	0.64	NLOH
chr1	125028666	146805445	2	2	0	2	0.64	NLOH
chr1	146806125	148529282	2	1	1	2	0.64	HET
chr1	148535632	149423619	3	2	1	2	0.64	ASCNA
chr1	149424393	248945266	2	1	1	2	0.64	HET
chr2	19969	76824095	3	2	1	2	0.64	ASCNA
chr2	76824291	86897011	2	1	1	2	0.64	HET
chr2	86920409	89538132	2	1	1	2	0.64	HET
chr2	89544179	93286300	2	2	0	2	0.64	NLOH
chr2	93312910	94087217	3	2	1	2	0.64	ASCNA
chr2	94141354	111255796	2	1	1	2	0.64	HET
chr2	111257258	111799099	2	1	1	2	0.64	HET
chr2	111801336	113392594	2	2	0	2	0.64	NLOH
chr2	113410205	113628884	2	1	1	2	0.64	HET
chr2	113629781	242100542	2	1	1	2	0.64	HET
chr2	242110346	242181520	2	1	1	2	0.64	HET
chr3	11839	90717364	2	1	1	2	0.64	HET
chr3	90720801	90997921	3	2	1	2	0.64	ASCNA
chr3	91000572	91283337	2	1	1	2	0.64	HET
chr3	91283474	195475952	2	1	1	2	0.64	HET
chr3	195476669	195499753	2	2	0	2	0.64	NLOH
chr3	195499894	195612986	1	1	0	2	0.64	DLOH
chr3	195613149	195786255	3	2	1	2	0.64	ASCNA
chr3	195789434	198187373	2	1	1	2	0.64	HET
chr4	12333	65185	4	3	1	2	0.64	ASCNA
chr4	67608	49078836	2	1	1	2	0.64	HET
chr4	49097725	50398836	2	1	1	2	0.64	HET
chr4	50463045	51800927	3	2	1	2	0.64	ASCNA
chr4	51811015	190017273	2	1	1	2	0.64	HET
chr4	190017355	190204439	3	2	1	2	0.64	ASCNA
chr5	13541	25168922	2	1	1	2	0.64	HET
chr5	25190673	46431981	2	1	1	2	0.64	HET
chr5	46434210	47296521	2	2	0	2	0.64	NLOH
chr5	49600111	50142734	3	2	1	2	0.64	ASCNA
chr5	50145508	69558213	2	1	1	2	0.64	HET
chr5	69581083	71160116	3	2	1	2	0.64	ASCNA
chr5	71207763	175903182	2	1	1	2	0.64	HET
chr5	175903372	176129340	2	1	1	2	0.64	HET
chr5	176129666	181475100	2	1	1	2	0.64	HET
chr6	93901	381329	1	1	0	2	0.64	DLOH
chr6	382537	23164294	1	1	0	2	0.64	DLOH
chr6	23165246	25530271	2	2	0	2	0.64	NLOH
chr6	25530905	54880869	3	2	1	2	0.64	ASCNA
chr6	54968808	60999955	2	1	1	2	0.64	HET
chr6	61003988	170743540	2	1	1	2	0.64	HET
chr7	24443	52469361	1	1	0	2	0.64	DLOH
chr7	52469518	58066038	2	1	1	2	0.64	HET
chr7	58066992	59759168	2	1	1	2	0.64	HET
chr7	59911830	62576785	2	1	1	2	0.64	HET
chr7	62579853	63565645	3	2	1	2	0.64	ASCNA
chr7	63565858	74712672	2	1	1	2	0.64	HET
chr7	74725166	75517798	3	3	0	2	0.64	ASCNA
chr7	75518608	76946452	2	1	1	2	0.64	HET
chr7	76946972	77057314	3	2	1	2	0.64	ASCNA
chr7	77057521	77493102	2	1	1	2	0.64	HET
chr7	77495081	142406091	1	1	0	2	0.64	DLOH
chr7	142423845	142809879	1	1	0	2	0.64	DLOH
chr7	142810692	159332497	1	1	0	2	0.64	DLOH
chr8	76042	7163316	2	1	1	2	0.64	HET
chr8	7166643	8206230	2	1	1	2	0.64	HET
chr8	8230708	12150668	2	1	1	2	0.64	HET
chr8	12151678	12609039	1	1	0	2	0.64	DLOH
chr8	12612295	44077751	2	1	1	2	0.64	HET
chr8	44078970	45599482	3	2	1	2	0.64	ASCNA
chr8	45621140	145072952	2	1	1	2	0.64	HET
chr9	11234	171555	2	1	1	2	0.64	HET
chr9	174440	38853451	2	2	0	2	0.64	NLOH
chr9	38864556	40620231	3	2	1	2	0.64	ASCNA
chr9	40644200	45510756	2	1	1	2	0.64	HET
chr9	60521214	68352431	2	1	1	2	0.64	HET
chr9	68375404	138124865	2	1	1	2	0.64	HET
chr9	138126002	138272933	5	3	2	2	0.64	ASCNA
chr10	10483	40186317	2	1	1	2	0.64	HET
chr10	40217573	41706706	3	2	1	2	0.64	ASCNA
chr10	41707233	48150446	2	1	1	2	0.64	HET
chr10	48169159	133786964	2	1	1	2	0.64	HET
chr11	102905	50819330	2	1	1	2	0.64	HET
chr11	50819677	53572313	2	2	0	2	0.64	NLOH
chr11	53745239	54542195	3	2	1	2	0.64	ASCNA
chr11	54542424	59042418	2	2	0	2	0.64	NLOH
chr11	59043837	59084681	4	3	1	2	0.64	ASCNA
chr11	59086250	89754444	2	1	1	2	0.64	HET
chr11	89757223	90092460	3	2	1	2	0.64	ASCNA
chr11	90093000	135076140	2	1	1	2	0.64	HET
chr12	10720	78224	2	1	1	2	0.64	HET
chr12	78375	34774426	2	1	1	2	0.64	HET
chr12	34774533	35788177	2	1	1	2	0.64	HET
chr12	35801434	37235857	2	2	0	2	0.64	NLOH
chr12	37236350	133263081	2	1	1	2	0.64	HET
chr13	18171716	69678499	2	1	1	2	0.64	HET
chr13	69678665	114352616	2	1	1	2	0.64	HET
chr14	16023334	16096087	2	1	1	2	0.64	HET
chr14	18223945	19721508	2	1	1	2	0.64	HET
chr14	19723780	105550703	2	1	1	2	0.64	HET
chr14	105550944	105769052	4	4	0	2	0.64	ASCNA
chr14	105769791	106573427	2	1	1	2	0.64	HET
chr14	106576814	106882740	2	1	1	2	0.64	HET
chr15	17000753	18946107	2	1	1	2	0.64	HET
chr15	19188153	19997189	3	2	1	2	0.64	ASCNA
chr15	19997554	22607834	2	1	1	2	0.64	HET
chr15	22608952	23119763	2	1	1	2	0.64	HET
chr15	23125542	23363917	3	2	1	2	0.64	ASCNA
chr15	23364253	30093429	2	1	1	2	0.64	HET
chr15	30095588	30619313	2	1	1	2	0.64	HET
chr15	30619824	32277468	2	1	1	2	0.64	HET
chr15	32278983	32606160	2	1	1	2	0.64	HET
chr15	32606655	101976985	2	1	1	2	0.64	HET
chr16	10954	14685662	2	1	1	2	0.64	HET
chr16	14741108	16746571	2	2	0	2	0.64	NLOH
chr16	16747377	22637114	2	1	1	2	0.64	HET
chr16	22638086	22690922	2	1	1	2	0.64	HET
chr16	22691292	31920522	2	1	1	2	0.64	HET
chr16	31953606	33063388	3	2	1	2	0.64	ASCNA
chr16	33071738	36587626	2	1	1	2	0.64	HET
chr16	36715128	46401174	2	1	1	2	0.64	HET
chr16	46402078	90162157	2	1	1	2	0.64	HET
chr16	90163147	90226403	3	2	1	2	0.64	ASCNA
chr17	84686	16753417	2	1	1	2	0.64	HET
chr17	16753554	16845352	2	1	1	2	0.64	HET
chr17	16845468	22883835	2	1	1	2	0.64	HET
chr17	22915511	23881135	2	2	0	2	0.64	NLOH
chr17	24188213	26940765	3	2	1	2	0.64	ASCNA
chr17	26941771	26976593	4	3	1	2	0.64	ASCNA
chr17	26978090	45496053	2	1	1	2	0.64	HET
chr17	45496650	45626189	2	1	1	2	0.64	HET
chr17	45626665	46134666	2	1	1	2	0.64	HET
chr17	46135161	46693425	3	2	1	2	0.64	ASCNA
chr17	46695092	83237290	2	1	1	2	0.64	HET
chr18	30863	15395493	2	1	1	2	0.64	HET
chr18	15405070	17122716	2	1	1	2	0.64	HET
chr18	17240559	20917995	2	1	1	2	0.64	HET
chr18	20932821	80260390	2	1	1	2	0.64	HET
chr19	71178	271528	1	1	0	2	0.64	DLOH
chr19	276202	24342005	2	1	1	2	0.64	HET
chr19	24342245	26427030	3	2	1	2	0.64	ASCNA
chr19	27242159	54221884	2	1	1	2	0.64	HET
chr19	54221926	54239871	4	3	1	2	0.64	ASCNA
chr19	54240670	58604957	2	1	1	2	0.64	HET
chr20	61066	26383216	2	1	1	2	0.64	HET
chr20	26383860	27426832	2	1	1	2	0.64	HET
chr20	27507765	64248822	2	1	1	2	0.64	HET
chr20	64288990	64333832	1	1	0	2	0.64	DLOH
chr21	5050320	13178524	2	2	0	2	0.64	NLOH
chr21	13216980	46699378	2	1	1	2	0.64	HET
chr22	10511046	12904028	2	2	0	2	0.64	NLOH
chr22	15154549	15912243	3	2	1	2	0.64	ASCNA
chr22	15916681	18156081	2	2	0	2	0.64	NLOH
chr22	18172743	18892557	3	2	1	2	0.64	ASCNA
chr22	18894609	21116057	2	2	0	2	0.64	NLOH
chr22	21120458	21407213	2	1	1	2	0.64	HET
chr22	21445849	42463294	2	1	1	2	0.64	HET
chr22	42465607	42554355	3	2	1	2	0.64	ASCNA
chr22	42554739	50806911	2	1	1	2	0.64	HET
