chr	start	end	width	nvar	copy_number	lohtype	major_allele	minor_allele
chr1	10109	753405	743296.0	2	2	HET		
chr1	753541	10678488	9924947.0	2	2	NLOH		
chr1	10678610	16828171	6149561.0	2	2	HET		
chr1	16831094	17274454	443360.0	2	3	ASCNA		
chr1	17275622	83953139	66677517.0	2	2	HET		
chr1	83954008	85977882	2023874.0	2	3	ASCNA		
chr1	85980350	86005451	25101.0	2	3	ASCNA		
chr1	86006583	86053321	46738.0	2	4	BCNA		
chr1	86053860	120532209	34478349.0	2	2	HET		
chr1	120533209	121485416	952207.0	2	2	HET		
chr1	142536221	146534108	3997887.0	2	2	HET		
chr1	146534634	147921484	1386850.0	2	2	HET		
chr1	147941540	149752366	1810826.0	2	2	HET		
chr1	149752967	249238254	99485287.0	2	2	HET		
chr2	11486	36574847	36563361.0	2	2	HET		
chr2	36575479	36781943	206464.0	2	2	HET		
chr2	36782387	87091247	50308860.0	2	2	HET		
chr2	87091464	88273335	1181871.0	2	2	HET		
chr2	88279390	89546531	1267141.0	2	2	HET		
chr2	89548175	89908585	360410.0	2	3	ASCNA		
chr2	89910414	92324840	2414426.0	2	2	HET		
chr2	95326561	216214593	120888032.0	2	2	HET		
chr2	216215102	216312938	97836.0	2	4	BCNA		
chr2	216313320	243166536	26853216.0	2	2	HET		
chr3	60197	465730	405533.0	2	2	HET		
chr3	475587	652103	176516.0	2	2	HET		
chr3	652671	71656863	71004192.0	2	2	HET		
chr3	71657109	90503097	18845988.0	2	2	NLOH		
chr3	93505003	195342522	101837519.0	2	2	HET		
chr3	195342831	195543423	200592.0	2	3	ASCNA		
chr3	195543993	197933884	2389891.0	2	2	NLOH		
chr4	12333	68507	56174.0	2	3	ASCNA		
chr4	68786	48953129	48884343.0	2	2	HET		
chr4	48974433	49656960	682527.0	2	3	ASCNA		
chr4	52667091	101939946	49272855.0	2	2	HET		
chr4	101939980	190536793	88596813.0	2	2	HET		
chr4	190536821	190679875	143054.0	2	3	ASCNA		
chr4	190681150	191044166	363016.0	2	2	HET		
chr5	11582	14161885	14150303.0	2	2	HET		
chr5	14165661	14500119	334458.0	2	2	HET		
chr5	14501824	46405572	31903748.0	2	2	HET		
chr5	49405845	68897381	19491536.0	2	2	HET		
chr5	68902829	70492710	1589881.0	2	2	HET		
chr5	70503590	180900823	110397233.0	2	2	HET		
chr6	151275	256614	105339.0	2	2	HET		
chr6	256944	380789	123845.0	2	3	ASCNA		
