chr	start	end	copynumber	A	B	ploidy	cellularity	lohtype
chr1	10109	802436	2	1	1	2	0.11	HET
chr1	804013	2584095	11	11	0	2	0.11	ASCNA
chr1	2584105	2689085	9	9	0	2	0.11	ASCNA
chr1	2689598	12837840	2	1	1	2	0.11	HET
chr1	12841443	13777386	2	1	1	2	0.11	HET
chr1	13781826	16833070	2	1	1	2	0.11	HET
chr1	16833240	17431434	2	2	0	2	0.11	NLOH
chr1	17489167	78533635	2	1	1	2	0.11	HET
chr1	78548629	78786006	12	12	0	2	0.11	ASCNA
chr1	78796122	108784205	2	1	1	2	0.11	HET
chr1	108790757	108995634	7	7	0	2	0.11	ASCNA
chr1	109016615	112938497	2	1	1	2	0.11	HET
chr1	112938917	113111493	4	2	2	2	0.11	BCNA
chr1	113133645	120536913	2	1	1	2	0.11	HET
chr1	120538184	120629460	11	11	0	2	0.11	ASCNA
chr1	120630711	121485379	0	0	0	2	0.11	HOMD
chr1	142535974	145382511	2	1	1	2	0.11	HET
chr1	145383170	147960699	2	1	1	2	0.11	HET
chr1	147962856	149035423	5	5	0	2	0.11	ASCNA
chr1	149036963	149245994	1	1	0	2	0.11	DLOH
chr1	149246510	149749785	2	1	1	2	0.11	HET
chr1	149750286	206331337	2	1	1	2	0.11	HET
chr1	206482512	206600992	3	3	0	2	0.11	ASCNA
chr1	206601326	234910169	2	1	1	2	0.11	HET
chr1	234912392	234946772	9	9	0	2	0.11	ASCNA
chr1	234949670	243350856	2	1	1	2	0.11	HET
chr1	243355204	249240389	2	1	1	2	0.11	HET
chr2	11322	87068782	2	1	1	2	0.11	HET
chr2	87069712	88283445	3	2	1	2	0.11	ASCNA
chr2	88283882	89546893	1	1	0	2	0.11	DLOH
chr2	89548175	92324697	2	1	1	2	0.11	HET
chr2	95330387	97854867	2	1	1	2	0.11	HET
chr2	97855266	98159536	6	6	0	2	0.11	ASCNA
chr2	98162496	112027963	2	1	1	2	0.11	HET
chr2	112030898	112486742	2	1	1	2	0.11	HET
chr2	112487900	112544737	8	8	0	2	0.11	ASCNA
chr2	112549752	114148961	2	1	1	2	0.11	HET
chr2	114149166	114363348	2	1	1	2	0.11	HET
chr2	114366384	132994795	2	1	1	2	0.11	HET
chr2	132998534	133045448	9	9	0	2	0.11	ASCNA
chr2	133046263	133315312	10	10	0	2	0.11	ASCNA
chr2	133327939	166501273	2	1	1	2	0.11	HET
chr2	166515173	166538339	15	15	0	2	0.11	ASCNA
chr2	166554462	242743943	2	1	1	2	0.11	HET
chr2	242755040	243154486	2	1	1	2	0.11	HET
chr3	64119	607560	2	1	1	2	0.11	HET
chr3	613948	652103	2	1	1	2	0.11	HET
chr3	655821	75608830	2	1	1	2	0.11	HET
chr3	75608917	75803267	6	6	0	2	0.11	ASCNA
chr3	75805781	90503193	2	1	1	2	0.11	HET
chr3	93505463	172155585	2	1	1	2	0.11	HET
chr3	172155963	191985106	2	1	1	2	0.11	HET
chr3	191988845	191997813	9	9	0	2	0.11	ASCNA
chr3	191998235	195337615	2	1	1	2	0.11	HET
chr3	195342169	195459317	3	3	0	2	0.11	ASCNA
chr3	195459530	195671682	2	1	1	2	0.11	HET
chr3	195671735	195723586	10	10	0	2	0.11	ASCNA
chr3	195723802	197308596	2	1	1	2	0.11	HET
chr3	197308611	197386570	3	2	1	2	0.11	ASCNA
chr3	197387554	197947155	1	1	0	2	0.11	DLOH
chr4	10114	68617	3	3	0	2	0.11	ASCNA
chr4	73508	27955726	2	1	1	2	0.11	HET
chr4	27956275	28095320	2	1	1	2	0.11	HET
chr4	28097896	49079014	2	1	1	2	0.11	HET
chr4	49080317	49660011	6	6	0	2	0.11	ASCNA
chr4	52661844	63383113	2	1	1	2	0.11	HET
chr4	63398008	63488950	2	1	1	2	0.11	HET
chr4	63491930	95309873	2	1	1	2	0.11	HET
chr4	95309941	95596188	8	4	4	2	0.11	BCNA
