chr	start	end	width	nvar	copy_number	lohtype	major_allele	minor_allele
chr1	16378	801848	785470.0	2	3	ASCNA		
chr1	805547	12953044	12147497.0	2	2	HET		
chr1	12953156	13614450	661294.0	2	3	ASCNA		
chr1	13615412	16834501	3219089.0	2	2	HET		
chr1	16834634	17192359	357725.0	2	2	HET		
chr1	17192887	121333161	104140274.0	2	2	HET		
chr1	121341586	121485217	143631.0	2	2	HET		
chr1	142563245	248596524	106033279.0	2	2	HET		
chr1	248597517	248821728	224211.0	2	3	ASCNA		
chr1	248822000	249239465	417465.0	2	2	HET		
chr2	19969	77051221	77031252.0	2	3	ASCNA		
chr2	77051417	89597831	12546414.0	2	2	NLOH		
chr2	89831490	92324268	2492778.0	2	3	ASCNA		
chr2	95329751	98164580	2834829.0	2	2	HET		
chr2	98164948	112013373	13848425.0	2	2	HET		
chr2	112014835	112349679	334844.0	2	2	HET		
chr2	112350203	243159214	130809011.0	2	2	HET		
chr3	92813	90504645	90411832.0	2	2	HET		
chr3	93505463	195212444	101706981.0	2	2	HET		
chr3	195213279	195231728	18449.0	2	1	DLOH		
chr3	195234218	195339857	105639.0	2	2	HET		
chr3	195340020	195512663	172643.0	2	3	ASCNA		
chr3	195513126	197746768	2233642.0	2	2	HET		
chr4	12333	65077	52744.0	2	4	ASCNA		
chr4	67500	49080853	49013353.0	2	2	HET		
chr4	49099742	49659331	559589.0	2	3	ASCNA		
chr4	52660391	190938428	138278037.0	2	2	HET		
chr4	190938510	191043497	104987.0	2	3	ASCNA		
chr5	13541	25169031	25155490.0	2	2	HET		
chr5	25190782	46405572	21214790.0	2	2	HET		
chr5	49410021	49438568	28547.0	2	4	ASCNA		
chr5	49441342	68854040	19412698.0	2	2	NLOH		
chr5	68876910	70455943	1579033.0	2	3	ASCNA		
chr5	70469156	175330185	104861029.0	2	2	HET		
chr5	175330375	175556343	225968.0	2	2	HET		
chr5	175556669	180781892	5225223.0	2	2	HET		
chr6	93901	381329	287428.0	2	1	DLOH		
chr6	382537	23164522	22781985.0	2	1	DLOH		
chr6	23165474	25530499	2365025.0	2	2	NLOH		
chr6	25531133	54745667	29214534.0	2	3	ASCNA		
chr6	54833606	58780130	3946524.0	2	2	NLOH		
chr6	61914150	171052628	109138478.0	2	2	HET		
chr7	24443	52537057	52512614.0	2	1	DLOH		
chr7	52537214	58053875	5516661.0	2	2	HET		
chr7	61056727	62037163	980436.0	2	2	HET		
chr7	62040231	63017119	976888.0	2	3	ASCNA		
chr7	63018407	77122419	14104012.0	2	2	HET		
chr7	77124398	158930122	81805724.0	2	1	DLOH		
chr8	26042	7020838	6994796.0	2	2	HET		
chr8	7024165	8063752	1039587.0	2	2	HET		
chr8	8088230	12008177	3919947.0	2	2	HET		
chr8	12009187	12466548	457361.0	2	1	DLOH		
chr8	12469804	43836638	31366834.0	2	2	HET		
chr8	46840023	146298338	99458315.0	2	2	HET		
chr9	11234	171555	160321.0	2	2	HET		
chr9	174440	38806702	38632262.0	2	2	HET		
chr9	38807689	47273032	8465343.0	2	2	HET		
chr9	65471200	69351936	3880736.0	2	2	HET		
chr9	69352026	70945290	1593264.0	2	3	ASCNA		
chr9	70945465	141019317	70073852.0	2	2	HET		
chr9	141020454	141123983	103529.0	2	5	ASCNA		
chr10	93816	39151148	39057332.0	2	2	HET		
chr10	42355047	135228453	92873406.0	2	2	HET		
chr10	135228753	135524289	295536.0	2	3	ASCNA		
chr11	102905	181523	78618.0	2	2	HET		
chr11	183781	51576856	51393075.0	2	2	HET		
chr11	51577085	51593970	16885.0	2	3	ASCNA		
chr11	54694295	58809891	4115596.0	2	2	HET		
chr11	58811310	58852154	40844.0	2	4	ASCNA		
chr11	58853723	89487612	30633889.0	2	2	HET		
chr11	89490391	89825628	335237.0	2	3	ASCNA		
chr11	89826168	134876110	45049942.0	2	2	HET		
chr12	65188	187390	122202.0	2	2	HET		
chr12	187541	34856380	34668839.0	2	2	HET		
chr12	37856814	133839667	95982853.0	2	2	HET		
chr13	19020145	70256152	51236007.0	2	2	HET		
chr13	70257320	115109852	44852532.0	2	2	HET		
chr14	19000422	20189667	1189245.0	2	2	HET		
chr14	20191939	106017040	85825101.0	2	2	HET		
chr14	106017281	107027566	1010285.0	2	2	NLOH		
chr14	107028659	107288287	259628.0	2	2	HET		
chr15	20000538	20202442	201904.0	2	1	DLOH		
chr15	20202807	22730958	2528151.0	2	2	HET		
chr15	22740064	23264144	524080.0	2	2	NLOH		
chr15	23265262	23609064	343802.0	2	3	ASCNA		
chr15	23609400	30385632	6776232.0	2	2	HET		
chr15	30387791	30906604	518813.0	2	2	HET		
chr15	30907163	32569669	1662506.0	2	2	NLOH		
chr15	32571184	32898361	327177.0	2	2	HET		
